MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:107789	Aup1	ancient ubiquitous protein 1	6		ubiquitin-dependent ERAD pathway			ISO	Q9Y679 	J:164563 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		endoplasmic reticulum stress-induced pre-emptive quality control			ISO	P46379 	J:164563 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		ER-associated misfolded protein catabolic process			ISO	P46379 	J:164563 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IMP		J:131590 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		maintenance of unfolded protein involved in ERAD pathway			ISO	P46379 	J:164563 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		positive regulation of ERAD pathway			ISO	P46379 	J:164563 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		ubiquitin-dependent ERAD pathway			IBA	PTN000390583 	J:265628 	
MGI:1919439	Bag6	BCL2-associated athanogene 6	17		ubiquitin-dependent ERAD pathway			ISO	P46379 	J:164563 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	happens in fibroblast		IGI	MGI:99702 	J:84272 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	happens in fibroblast		IGI	MGI:99702 P10415 	J:97306 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		positive regulation of endoplasmic reticulum unfolded protein response			ISO	Q16611 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	happens in fibroblast		IGI	MGI:1097161 	J:84272 	
MGI:99702	Bax	BCL2-associated X protein	7		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	happens in fibroblast		IGI	MGI:1097161 P10415 	J:97306 	
MGI:99702	Bax	BCL2-associated X protein	7		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			ISO	Q07812 	J:164563 	
MGI:99702	Bax	BCL2-associated X protein	7		positive regulation of endoplasmic reticulum unfolded protein response			ISO	Q07812 	J:164563 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IBA	PTN002008808 	J:265628 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IMP		J:167725 J:190239 J:219625 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			ISO	Q9BXH1 	J:164563 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		response to endoplasmic reticulum stress			IDA		J:167725 	
MGI:2181667	Bbc3	BCL2 binding component 3	7		response to endoplasmic reticulum stress			ISO	Q9BXH1 	J:164563 	
MGI:1350933	Bcap31	B cell receptor associated protein 31	X		positive regulation of ER-associated ubiquitin-dependent protein catabolic process			ISO	P51572 	J:164563 	
MGI:1350933	Bcap31	B cell receptor associated protein 31	X		positive regulation of retrograde protein transport, ER to cytosol			ISO	P51572 	J:164563 	
MGI:1350933	Bcap31	B cell receptor associated protein 31	X		response to endoplasmic reticulum stress			ISO	P51572 	J:164563 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			ISS	P10415 	J:97306 	
MGI:88139	Bcl2l1	BCL2-like 1	2		negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway			ISO	Q07817 	J:164563 	
MGI:1197519	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	2		positive regulation of autophagy in response to ER overload			ISO	RGD:628774 	J:155856 	
MGI:1197519	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	2		response to endoplasmic reticulum stress			IDA		J:167725 	
MGI:1197519	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	2		response to endoplasmic reticulum stress			ISO	O43521 	J:164563 	
MGI:1914368	Bfar	bifunctional apoptosis regulator	16		negative regulation of IRE1-mediated unfolded protein response			ISO	Q9NZS9 	J:164563 	
MGI:891976	Bhlha15	basic helix-loop-helix family, member a15	5		endoplasmic reticulum unfolded protein response			IDA		J:215889 	
MGI:108093	Bid	BH3 interacting domain death agonist	6		positive regulation of autophagy in response to ER overload			ISO	RGD:620160 	J:155856 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway			IDA		J:235310 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway			IMP		J:223399 	
MGI:1858494	Bok	BCL2-related ovarian killer	1		positive regulation of PERK-mediated unfolded protein response			IMP		J:223399 	
MGI:1923020	Brsk2	BR serine/threonine kinase 2	7		ERAD pathway			ISO	Q8IWQ3 	J:164563 	
MGI:1923020	Brsk2	BR serine/threonine kinase 2	7		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			ISO	Q8IWQ3 	J:164563 	
MGI:88252	Calr	calreticulin	8		ubiquitin-dependent ERAD pathway			IBA	PTN000117401 	J:265628 	
MGI:1920566	Calr3	calreticulin 3	8		ubiquitin-dependent ERAD pathway			IBA	PTN000117401 	J:265628 	
MGI:2140435	Calr4	calreticulin 4	4		ubiquitin-dependent ERAD pathway			IBA	PTN000117401 	J:265628 	
MGI:88261	Canx	calnexin	11		ubiquitin-dependent ERAD pathway			IBA	PTN000117401 	J:265628 	
MGI:107739	Casp3	caspase 3	8		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			NAS		J:220516 	
MGI:1277950	Casp9	caspase 9	4		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			NAS		J:220516 	
MGI:1312922	Casp12	caspase 12	9		endoplasmic reticulum unfolded protein response			IDA		J:62257 	
MGI:1312922	Casp12	caspase 12	9		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IDA		J:220516 	
MGI:1312922	Casp12	caspase 12	9		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	happens in fibroblast		IGI	MGI:1097161 MGI:99702 	J:84272 	
MGI:1312922	Casp12	caspase 12	9		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	happens in epithelial cell of proximal tubule		IMP		J:59337 	
MGI:1312922	Casp12	caspase 12	9		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			TAS		J:180458 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		positive regulation of ER-associated ubiquitin-dependent protein catabolic process			ISO	Q03135 	J:164563 	
MGI:1914413	Ccdc47	coiled-coil domain containing 47	11		ER overload response			IMP		J:124441 	
MGI:1914413	Ccdc47	coiled-coil domain containing 47	11		ERAD pathway			ISO	Q96A33 	J:164563 	
MGI:1914413	Ccdc47	coiled-coil domain containing 47	11		ubiquitin-dependent ERAD pathway			IMP	MGI:3722141 	J:215393 	
MGI:88313	Ccnd1	cyclin D1	7		endoplasmic reticulum unfolded protein response			IDA		J:107108 	
MGI:1933126	Cdk5rap3	CDK5 regulatory subunit associated protein 3	11		endoplasmic reticulum unfolded protein response			ISO	Q96JB5 	J:164563 	
MGI:1933126	Cdk5rap3	CDK5 regulatory subunit associated protein 3	11		response to endoplasmic reticulum stress			IMP		J:272566 	
MGI:88373	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	2		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IMP		J:52729 	
MGI:88373	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	2		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			ISO	P17676 	J:164563 	
MGI:88373	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	2		response to endoplasmic reticulum stress			ISO	P17676 	J:164563 	
MGI:1915268	Cert1	ceramide transporter 1	13		response to endoplasmic reticulum stress			IMP	MGI:3837565 	J:146172 	
MGI:88388	Cftr	cystic fibrosis transmembrane conductance regulator	6		response to endoplasmic reticulum stress			ISO	P13569 	J:164563 	
MGI:1916315	Chac1	ChaC, cation transport regulator 1	2		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			ISO	Q9BUX1 	J:164563 	
MGI:107472	Clgn	calmegin	8		ubiquitin-dependent ERAD pathway			IBA	PTN000117401 	J:265628 	
MGI:88423	Clu	clusterin	14		negative regulation of response to endoplasmic reticulum stress			ISO	P10909 	J:164563 	
MGI:1349415	Cops5	COP9 signalosome subunit 5	1		regulation of IRE1-mediated unfolded protein response			ISO	Q92905 	J:164563 	
MGI:99946	Creb3	cAMP responsive element binding protein 3	4		endoplasmic reticulum unfolded protein response			IEA	IPR029808 	J:72247 	
MGI:99946	Creb3	cAMP responsive element binding protein 3	4		negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway			ISO	O43889 	J:164563 	
MGI:99946	Creb3	cAMP responsive element binding protein 3	4		positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response			ISO	O43889 	J:164563 	
MGI:1347062	Creb3l1	cAMP responsive element binding protein 3-like 1	2		endoplasmic reticulum unfolded protein response			IDA		J:158242 	
MGI:1347062	Creb3l1	cAMP responsive element binding protein 3-like 1	2		negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	happens in glial cell		IDA		J:217998 	
MGI:1347062	Creb3l1	cAMP responsive element binding protein 3-like 1	2		negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway			ISO	RGD:1359613 	J:155856 	
MGI:1347062	Creb3l1	cAMP responsive element binding protein 3-like 1	2		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	uses UniProtKB:P20029		IDA		J:217998 	
MGI:1347062	Creb3l1	cAMP responsive element binding protein 3-like 1	2		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			ISO	RGD:1359613 	J:155856 	
MGI:2442695	Creb3l2	cAMP responsive element binding protein 3-like 2	6		endoplasmic reticulum unfolded protein response			IEA	IPR029804 	J:72247 	
MGI:2384786	Creb3l3	cAMP responsive element binding protein 3-like 3	10		endoplasmic reticulum unfolded protein response			IEA	IPR029806 	J:72247 	
MGI:2384786	Creb3l3	cAMP responsive element binding protein 3-like 3	10		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			IMP		J:217996 	
MGI:2384786	Creb3l3	cAMP responsive element binding protein 3-like 3	10		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			ISO	Q68CJ9 	J:164563 	
MGI:1916603	Creb3l4	cAMP responsive element binding protein 3-like 4	3		endoplasmic reticulum unfolded protein response			IEA	IPR029807 	J:72247 	
MGI:1924378	Crebrf	CREB3 regulatory factor	17		negative regulation of endoplasmic reticulum unfolded protein response			ISO	Q8IUR6 	J:164563 	
MGI:1924378	Crebrf	CREB3 regulatory factor	17		response to endoplasmic reticulum stress			ISO	Q8IUR6 	J:164563 	
MGI:91842	D1Pas1	DNA segment, Chr 1, Pasteur Institute 1	1		positive regulation of translation in response to endoplasmic reticulum stress			ISO	O00571 	J:164563 	
MGI:1916851	Dab2ip	disabled 2 interacting protein	2		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IMP		J:136554 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		endoplasmic reticulum unfolded protein response			IDA		J:198492 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		endoplasmic reticulum unfolded protein response			IMP	MGI:2654034 	J:95320 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		endoplasmic reticulum unfolded protein response			IMP	MGI:5441015 	J:268046 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		ER overload response			IBA	PTN002703959 	J:265628 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		ER overload response			IMP	MGI:2179046 	J:74700 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		ER overload response			ISO	RGD:62391 	J:155856 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IBA	PTN002703959 	J:265628 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IDA		J:198492 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IMP	MGI:2179046 	J:74700 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	happens in epithelial cell of proximal tubule		IMP		J:52729 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IMP		J:167725 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			ISO	P35638 	J:164563 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of autophagy in response to ER overload			ISO	RGD:62391 	J:155856 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			IBA	PTN002703959 	J:265628 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	uses UniProtKB:P17564		IMP		J:95320 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			ISO	RGD:62391 	J:155856 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			ISO	P35638 	J:164563 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	uses UniProtKB:Q8R180		NAS		J:95320 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		response to endoplasmic reticulum stress			IDA		J:153833 J:167725 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		response to endoplasmic reticulum stress			ISO	P35638 	J:164563 	
MGI:1924256	Ddrgk1	DDRGK domain containing 1	2		negative regulation of IRE1-mediated unfolded protein response			IMP		J:244198 	
MGI:1924256	Ddrgk1	DDRGK domain containing 1	2		negative regulation of IRE1-mediated unfolded protein response			ISO	Q96HY6 	J:164563 	
MGI:1924256	Ddrgk1	DDRGK domain containing 1	2		response to endoplasmic reticulum stress			IMP		J:217277 J:244198 	
MGI:1924256	Ddrgk1	DDRGK domain containing 1	2		response to endoplasmic reticulum stress			ISO	Q96HY6 	J:164563 	
MGI:103064	Ddx3x	DEAD box helicase 3, X-linked	X		positive regulation of translation in response to endoplasmic reticulum stress			ISO	O00571 	J:164563 	
MGI:1915069	Derl1	Der1-like domain family, member 1	15		endoplasmic reticulum unfolded protein response			IBA	PTN000109990 	J:265628 	
MGI:1915069	Derl1	Der1-like domain family, member 1	15		endoplasmic reticulum unfolded protein response			ISO	Q9BUN8 	J:164563 	
MGI:1915069	Derl1	Der1-like domain family, member 1	15		ER-associated misfolded protein catabolic process			ISO	Q9BUN8 	J:164563 	
MGI:1915069	Derl1	Der1-like domain family, member 1	15		ERAD pathway			ISO	Q9BUN8 	J:164563 	
MGI:1915069	Derl1	Der1-like domain family, member 1	15		retrograde protein transport, ER to cytosol			ISO	Q9BUN8 	J:73065 	
MGI:1915069	Derl1	Der1-like domain family, member 1	15		ubiquitin-dependent ERAD pathway			IBA	PTN000109990 	J:265628 	
MGI:1915069	Derl1	Der1-like domain family, member 1	15		ubiquitin-dependent ERAD pathway			ISO	Q9BUN8 	J:164563 	
MGI:2151483	Derl2	Der1-like domain family, member 2	11		endoplasmic reticulum unfolded protein response			IBA	PTN000109990 	J:265628 	
MGI:2151483	Derl2	Der1-like domain family, member 2	11		endoplasmic reticulum unfolded protein response			ISO	Q9GZP9 	J:164563 	
MGI:2151483	Derl2	Der1-like domain family, member 2	11		negative regulation of retrograde protein transport, ER to cytosol			ISO	Q9GZP9 	J:164563 	
MGI:2151483	Derl2	Der1-like domain family, member 2	11		retrograde protein transport, ER to cytosol	happens in fibroblast		IMP	MGI:4947129 	J:170650 	
MGI:2151483	Derl2	Der1-like domain family, member 2	11		retrograde protein transport, ER to cytosol			ISO	Q9GZP9 	J:164563 	
MGI:2151483	Derl2	Der1-like domain family, member 2	11		ubiquitin-dependent ERAD pathway			IBA	PTN000109990 	J:265628 	
MGI:2151483	Derl2	Der1-like domain family, member 2	11		ubiquitin-dependent ERAD pathway			ISO	Q9GZP9 	J:164563 	
MGI:1917627	Derl3	Der1-like domain family, member 3	10		endoplasmic reticulum unfolded protein response			IBA	PTN000109990 	J:265628 	
MGI:1917627	Derl3	Der1-like domain family, member 3	10		endoplasmic reticulum unfolded protein response			ISO	Q96Q80 	J:164563 	
MGI:1917627	Derl3	Der1-like domain family, member 3	10		negative regulation of retrograde protein transport, ER to cytosol			ISO	Q96Q80 	J:164563 	
MGI:1917627	Derl3	Der1-like domain family, member 3	10		ubiquitin-dependent ERAD pathway			IBA	PTN000109990 	J:265628 	
MGI:1917627	Derl3	Der1-like domain family, member 3	10		ubiquitin-dependent ERAD pathway			ISO	Q96Q80 	J:164563 	
MGI:1928739	Dnajb2	DnaJ heat shock protein family (Hsp40) member B2	1		ubiquitin-dependent ERAD pathway			IBA	PTN002376289 	J:265628 	
MGI:1928739	Dnajb2	DnaJ heat shock protein family (Hsp40) member B2	1		ubiquitin-dependent ERAD pathway			ISO	P25686 	J:164563 	
MGI:1351618	Dnajb9	DnaJ heat shock protein family (Hsp40) member B9	12		response to endoplasmic reticulum stress			IDA		J:76352 	
MGI:1351618	Dnajb9	DnaJ heat shock protein family (Hsp40) member B9	12		ubiquitin-dependent ERAD pathway			IDA		J:198900 	
MGI:1351618	Dnajb9	DnaJ heat shock protein family (Hsp40) member B9	12		ubiquitin-dependent ERAD pathway			ISO	Q9UBS3 	J:164563 	
MGI:1931881	Dnajb12	DnaJ heat shock protein family (Hsp40) member B12	10		ERAD pathway			ISO	Q9NXW2 	J:164563 	
MGI:1931881	Dnajb12	DnaJ heat shock protein family (Hsp40) member B12	10		ubiquitin-dependent ERAD pathway			IBA	PTN001940805 	J:265628 	
MGI:1917854	Dnajb14	DnaJ heat shock protein family (Hsp40) member B14	3		ubiquitin-dependent ERAD pathway			IBA	PTN001940805 	J:265628 	
MGI:107373	Dnajc3	DnaJ heat shock protein family (Hsp40) member C3	14		endoplasmic reticulum unfolded protein response			IC	GO:0051787 	J:156044 	
MGI:107373	Dnajc3	DnaJ heat shock protein family (Hsp40) member C3	14		negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation			IDA		J:218404 	
MGI:107373	Dnajc3	DnaJ heat shock protein family (Hsp40) member C3	14		negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation			ISO	Q13217 	J:164563 	
MGI:107373	Dnajc3	DnaJ heat shock protein family (Hsp40) member C3	14		positive regulation of translation initiation in response to endoplasmic reticulum stress			IDA		J:218404 	
MGI:107373	Dnajc3	DnaJ heat shock protein family (Hsp40) member C3	14		response to endoplasmic reticulum stress			IMP		J:115988 	
MGI:1914111	Dnajc10	DnaJ heat shock protein family (Hsp40) member C10	2		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			ISO	Q8IXB1 	J:164563 	
MGI:1914111	Dnajc10	DnaJ heat shock protein family (Hsp40) member C10	2		response to endoplasmic reticulum stress			ISO	Q8IXB1 	J:164563 	
MGI:1914111	Dnajc10	DnaJ heat shock protein family (Hsp40) member C10	2		ubiquitin-dependent ERAD pathway			IDA		J:169878 J:170851 	
MGI:1914111	Dnajc10	DnaJ heat shock protein family (Hsp40) member C10	2		ubiquitin-dependent ERAD pathway			ISO	Q8IXB1 	J:164563 	
MGI:1923844	Dnajc18	DnaJ heat shock protein family (Hsp40) member C18	18		ubiquitin-dependent ERAD pathway			IBA	PTN001940805 	J:265628 	
MGI:2140220	Ecpas	Ecm29 proteasome adaptor and scaffold	4		ubiquitin-dependent ERAD pathway			ISO	Q5VYK3 	J:164563 	
MGI:2180139	Edem1	ER degradation enhancer, mannosidase alpha-like 1	6		mannose trimming involved in glycoprotein ERAD pathway			ISO	Q92611 	J:164563 	
MGI:2180139	Edem1	ER degradation enhancer, mannosidase alpha-like 1	6		positive regulation of retrograde protein transport, ER to cytosol			IDA		J:208389 	
MGI:2180139	Edem1	ER degradation enhancer, mannosidase alpha-like 1	6		positive regulation of retrograde protein transport, ER to cytosol			ISO	Q92611 	J:164563 	
MGI:2180139	Edem1	ER degradation enhancer, mannosidase alpha-like 1	6		ubiquitin-dependent ERAD pathway			IDA		J:76183 	
MGI:2180139	Edem1	ER degradation enhancer, mannosidase alpha-like 1	6		ubiquitin-dependent glycoprotein ERAD pathway			ISO	Q92611 	J:164563 	
MGI:1915540	Edem2	ER degradation enhancer, mannosidase alpha-like 2	2		mannose trimming involved in glycoprotein ERAD pathway			ISO	Q9BV94 	J:164563 	
MGI:1915540	Edem2	ER degradation enhancer, mannosidase alpha-like 2	2		positive regulation of retrograde protein transport, ER to cytosol	is a part of ubiquitin-dependent glycoprotein ERAD pathway		IDA		J:208389 	
MGI:1915540	Edem2	ER degradation enhancer, mannosidase alpha-like 2	2		positive regulation of retrograde protein transport, ER to cytosol			ISO	Q9BV94 	J:164563 	
MGI:1915540	Edem2	ER degradation enhancer, mannosidase alpha-like 2	2		ubiquitin-dependent glycoprotein ERAD pathway			ISO	Q9BV94 	J:164563 	
MGI:1914217	Edem3	ER degradation enhancer, mannosidase alpha-like 3	1		mannose trimming involved in glycoprotein ERAD pathway			IDA		J:111585 	
MGI:1914217	Edem3	ER degradation enhancer, mannosidase alpha-like 3	1		mannose trimming involved in glycoprotein ERAD pathway			ISO	Q9BZQ6 	J:164563 	
